tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""51003010100""","""Charlottesville, VA""",3.00,5102.00,2097.00,89591.82,53,65,61,30,37,34,24,28,27,10.40,0.40,2.18,2,2,24933,24570,25404,0,0,0,17295,16190,16663,13657,12606,12958,3637,3583,3705,0,0,0,0,0,0,0.3,2.0,0.07,0.02,3047,91,3029,85,210,13,3573,1790,2021,572,84,16
"""51003010201""","""Charlottesville, VA""",2.00,4807.00,1849.00,17279.12,53,65,61,29,36,34,24,28,27,10.93,1.19,2.21,2,2,25338,25004,25721,0,0,1,17566,16535,16932,13869,12888,13181,3697,3646,3751,0,0,0,0,0,0,1.3,2.5,0.73,0.11,3774,77,3999,84,152,29,3280,1762,1810,676,91,9
"""51003010202""","""Charlottesville, VA""",2.00,3101.00,1185.00,14322.76,57,69,64,32,41,38,24,28,27,10.84,0.94,2.21,2,2,24768,24521,25187,1,1,1,17511,16497,16894,13897,12921,13220,3613,3576,3673,0,0,0,0,0,0,0.5,3.6,0.15,0.08,4094,94,6170,83,167,37,3053,1964,2024,1269,93,7
"""51003010300""","""Charlottesville, VA""",5.00,8515.00,3169.00,5871.86,48,58,55,27,34,32,21,24,23,8.80,8.29,1.92,2,2,20245,20009,20567,1,1,1,14995,14090,14415,12041,11172,11416,2954,2918,2999,0,0,0,0,0,0,4.0,4.3,1.15,0.54,5773,56,8557,82,41,60,1817,1658,1894,1194,72,28
"""51003010401""","""Charlottesville, VA""",3.00,4175.00,1808.00,58924.90,52,63,59,29,36,33,23,28,26,10.22,0.32,2.14,2,2,24779,24401,25182,0,0,0,17065,16008,16443,13450,12450,12770,3615,3559,3672,0,0,0,0,0,0,0.5,2.4,0.09,0.03,3264,95,3841,84,185,16,3039,1741,1974,1064,78,22
"""51003010402""","""Charlottesville, VA""",2.00,3000.00,1374.00,12057.02,57,69,65,33,42,38,23,27,26,9.25,1.41,2.18,2,2,22685,22396,23148,1,1,1,17022,15896,16386,13712,12629,13009,3310,3266,3376,0,0,0,0,0,0,1.0,2.0,0.34,0.11,3708,96,4688,85,96,33,2850,2015,2142,294,91,9
"""51003010500""","""Charlottesville, VA""",3.00,5492.00,2723.00,6285.30,44,53,50,27,33,31,17,20,19,6.25,3.45,1.60,2,2,15949,15780,16273,2,2,2,12371,11542,11845,10044,9240,9471,2327,2301,2373,1,1,1,0,0,0,4.4,7.0,1.59,0.43,8260,34,16336,79,43,44,1761,1620,1992,1361,49,51
"""51003010601""","""Charlottesville, VA""",3.00,6330.00,2648.00,1646.17,43,53,49,26,33,31,17,20,19,5.97,10.86,1.63,2,2,14627,14434,14877,3,3,3,12353,11519,11821,10217,9413,9649,2134,2105,2170,2,2,2,0,1,1,4.8,7.3,2.82,1.61,11254,43,29884,78,22,90,1412,1600,1748,1093,54,46
"""51003010602""","""Charlottesville, VA""",2.00,4314.00,1833.00,1299.71,46,57,53,28,35,33,18,21,20,6.98,12.70,1.72,2,2,16819,16787,17202,2,2,2,13264,12422,12720,10809,9973,10211,2454,2448,2509,1,1,1,0,0,0,6.4,6.9,3.79,1.41,10987,34,18929,79,22,91,1175,1705,1836,1491,67,33
"""51003010700""","""Charlottesville, VA""",3.00,6064.00,2671.00,787.78,36,44,41,20,26,24,16,18,17,5.25,19.13,1.50,1,1,13295,13071,13483,3,3,3,11382,10613,10863,9441,8704,8894,1940,1906,1966,2,2,2,1,1,1,7.6,8.1,7.40,3.39,12657,19,35179,77,15,206,956,1239,1282,1235,40,60
"""51003010800""","""Charlottesville, VA""",5.00,5721.00,2695.00,3394.72,40,49,46,24,30,28,16,19,18,5.38,21.68,1.55,1,2,13755,13594,14021,2,3,3,11739,10945,11221,9731,8961,9175,2007,1982,2045,1,2,2,0,0,0,5.6,7.9,1.70,0.79,11660,32,24895,77,22,84,1574,1467,1707,1231,42,58
"""51003010901""","""Charlottesville, VA""",2.00,1920.00,708.00,373.61,28,33,31,15,19,18,12,14,13,3.12,6.55,1.19,1,1,9298,9100,9527,3,3,3,8809,8102,8367,7451,6773,6976,1357,1327,1389,2,2,2,1,1,1,8.7,8.2,12.24,1.90,11893,3,23227,77,12,159,1045,934,,1193,31,69
"""51003010902""","""Charlottesville, VA""",2.00,3520.00,413.00,523.87,35,42,39,21,26,24,14,17,16,5.02,4.28,1.36,1,1,12385,12095,12527,5,6,6,10342,9601,9845,8532,7834,8014,1807,1764,1827,3,3,3,1,1,1,8.0,8.4,11.48,0.79,11828,7,26982,76,21,116,1318,1248,2111,1087,21,79
"""51003010903""","""Charlottesville, VA""",2.00,3004.00,148.00,242.17,25,30,28,13,16,15,12,14,13,,,1.15,1,1,9260,8987,9411,6,7,7,8563,7869,8127,7208,6554,6750,1351,1311,1372,4,4,4,1,1,1,8.1,8.7,0.15,0.61,15975,30,35851,75,14,151,1070,793,,793,0,100
"""51003011000""","""Charlottesville, VA""",5.00,6528.00,2483.00,18752.90,69,84,79,46,58,53,23,27,25,9.81,1.42,2.10,2,2,22156,21874,22543,1,1,1,16434,15421,15830,13201,12231,12542,3232,3190,3288,0,0,0,0,0,0,1.1,4.0,0.46,0.13,4440,92,6535,82,91,41,2344,2792,3081,452,87,13
"""51003011100""","""Charlottesville, VA""",5.00,8287.00,3420.00,10394.79,50,61,57,29,36,34,21,24,23,8.63,5.87,1.95,2,2,20425,20007,20710,0,0,0,15241,14245,14639,12261,11327,11618,2980,2918,3020,0,0,0,0,0,0,3.5,2.5,0.95,0.33,3970,61,3390,84,38,54,1774,1768,1909,1337,78,22
"""51003011201""","""Charlottesville, VA""",3.00,4065.00,1574.00,55405.53,53,64,60,29,36,33,24,29,27,11.13,0.32,2.22,2,2,25893,25442,26243,0,0,0,17714,16648,17068,13937,12938,13241,3778,3710,3827,0,0,0,0,0,0,0.9,1.4,0.14,0.03,2661,86,2710,86,147,16,2717,1737,1989,910,81,19
"""51003011202""","""Charlottesville, VA""",2.00,3616.00,1385.00,23416.59,55,67,63,32,40,37,24,28,26,10.36,0.69,2.20,2,2,23727,23471,24159,1,1,1,17258,16164,16617,13796,12740,13093,3462,3423,3523,1,1,1,0,0,0,1.1,2.2,0.36,0.06,3628,91,4456,85,109,23,2100,1917,1990,1277,90,10
"""51003011301""","""Charlottesville, VA""",4.00,5789.00,2192.00,64585.02,48,58,54,24,30,28,23,28,26,10.95,0.87,2.13,2,2,25490,25194,25889,0,0,0,17073,16106,16463,13354,12431,12687,3719,3674,3775,0,0,0,0,0,0,0.8,2.4,0.13,0.03,3619,75,4602,84,198,16,3731,1461,1670,904,72,28
"""51003011302""","""Charlottesville, VA""",2.00,4936.00,1702.00,735.68,37,45,42,20,25,23,17,20,19,6.68,20.42,1.62,2,2,15567,15248,15694,3,3,3,12464,11679,11897,10192,9454,9607,2271,2224,2289,2,2,2,0,0,0,8.3,6.4,4.30,2.31,10161,10,15314,79,13,139,1029,1212,1000,1245,25,75
"""51003011303""","""Charlottesville, VA""",2.00,3928.00,1533.00,1421.66,44,53,50,26,32,30,18,21,20,6.67,7.23,1.72,2,2,16191,15976,16435,3,3,3,13131,12272,12568,10767,9940,10170,2362,2330,2397,2,2,2,0,1,1,6.0,6.6,4.15,1.08,10239,38,15909,79,34,85,1516,1554,1752,1527,48,52
"""51003011400""","""Charlottesville, VA""",4.00,5191.00,1886.00,73722.10,44,53,50,20,25,23,24,28,27,11.29,0.38,2.18,2,2,26255,25874,26679,0,0,0,17517,16472,16885,13686,12699,12994,3830,3773,3891,0,0,0,0,0,0,0.6,1.6,0.14,0.03,2205,86,2079,85,185,12,3417,1191,1269,1045,77,23
"""51005070100""","""""",4.00,3694.00,1681.00,1765.29,42,50,33,18,22,14,24,27,20,6.06,10.39,1.54,1,2,15182,14902,16493,1,1,1,11425,10483,12444,9198,8297,10026,2214,2174,2405,12,13,12,15,16,15,6.3,2.3,6.50,0.95,2846,68,2198,85,7,144,826,711,840,564,63,37
"""51005080100""","""""",3.00,3406.00,1366.00,54760.69,53,64,42,21,26,16,32,37,26,10.34,0.39,1.99,2,2,23772,23557,25445,0,0,0,15367,14270,16555,11893,10827,12836,3467,3437,3711,7,7,8,9,9,10,1.1,1.4,0.53,0.02,1882,83,1637,86,114,10,2377,833,945,310,87,13
"""51005080201""","""""",2.00,2656.00,1176.00,39270.17,62,74,49,29,36,22,33,38,27,10.57,0.35,2.00,2,2,24858,24776,26485,0,0,0,15583,14488,16782,11950,10867,12911,3625,3614,3862,8,7,8,9,9,11,0.9,1.5,3.24,0.03,1959,81,2133,86,176,9,3048,1148,1306,215,86,14
"""51005080202""","""""",3.00,2278.00,1056.00,54366.33,50,60,40,19,24,15,31,35,25,9.27,1.81,1.88,2,2,22691,22649,24237,0,0,1,14542,13465,15759,11223,10151,12213,3309,3304,3535,10,10,11,13,13,13,0.5,2.0,0.23,0.02,2131,83,2386,85,188,7,3983,774,852,530,81,19
"""51005080301""","""""",1.00,1772.00,760.00,58580.18,61,74,48,27,34,20,35,40,28,11.92,0.15,2.06,2,2,28397,28778,29697,0,0,0,16476,15416,17659,12327,11211,13320,4141,4198,4331,8,7,9,9,9,11,0.4,1.3,0.24,0.01,2017,86,1624,86,265,5,3452,1068,1090,913,89,11
"""51005080302""","""""",2.00,1351.00,561.00,76430.26,61,73,48,27,34,21,34,39,27,10.86,0.08,2.06,2,2,25270,24779,27306,0,0,0,16016,14884,17213,12325,11263,13224,3685,3615,3982,6,6,7,7,7,8,1.0,1.0,0.34,0.01,1608,72,1499,86,258,5,3593,1084,1150,871,88,12
"""51007930100""","""Richmond, VA""",5.00,7091.00,2568.00,121552.94,46,57,50,21,26,23,25,31,27,11.76,0.32,2.22,2,2,27844,27623,27938,0,0,0,17337,16925,17251,13276,12896,13176,4061,4028,4074,0,0,0,0,0,0,1.1,1.5,0.07,0.02,2393,71,2327,86,230,15,3630,1206,1321,373,85,15
"""51007930200""","""Richmond, VA""",4.00,5862.00,2386.00,105877.40,44,55,48,19,24,21,25,31,27,11.18,0.27,2.22,2,2,27426,27296,27552,0,0,0,17266,16850,17180,13266,12869,13162,4000,3981,4018,0,0,0,0,0,0,1.0,1.7,0.11,0.02,2542,78,2581,85,177,17,3248,1092,1191,373,87,13
"""51009010100""","""Lynchburg, VA""",4.00,4626.00,1833.00,170727.56,54,65,47,24,30,21,30,35,27,10.44,0.19,2.11,2,2,25165,24640,26026,0,0,0,16302,15136,16869,12631,11540,13073,3670,3595,3795,1,1,1,4,4,5,0.9,1.3,0.06,0.01,2045,73,1858,86,199,11,3769,1074,1183,376,89,11
"""51009010200""","""Lynchburg, VA""",4.00,6979.00,2497.00,71300.96,54,65,47,26,32,22,28,33,25,9.47,1.00,2.01,2,2,22664,22094,23488,0,0,0,15321,14205,15858,12015,10980,12431,3305,3223,3425,1,1,1,4,4,5,1.4,1.8,0.21,0.04,2380,79,2997,85,101,18,2889,1162,1296,608,80,20
"""51009010300""","""Lynchburg, VA""",2.00,3227.00,1282.00,25808.64,56,68,49,25,31,21,31,36,28,11.14,0.68,2.18,2,2,25838,25357,26596,0,0,0,16781,15675,17282,13012,11975,13402,3768,3699,3879,1,1,2,5,5,6,0.6,2.3,0.13,0.05,3012,91,2643,84,148,24,3370,1118,1203,395,92,8
"""51009010401""","""Lynchburg, VA""",2.00,3416.00,1295.00,7823.09,51,62,45,22,28,19,29,34,26,9.98,1.67,2.03,2,2,23389,22782,24169,0,0,0,15581,14536,16033,12168,11211,12507,3411,3324,3525,1,1,1,5,5,5,2.8,2.3,0.39,0.17,3268,65,2780,84,70,45,1743,1002,1085,762,78,22
"""51009010402""","""Lynchburg, VA""",2.00,3399.00,1262.00,3596.27,53,64,46,24,30,20,29,34,26,10.41,3.69,2.02,2,2,24295,24394,24678,1,1,1,15629,14623,16083,12084,11062,12483,3543,3559,3599,2,2,2,7,7,8,2.1,3.0,0.51,0.35,3867,80,3726,83,62,64,1629,1065,1165,753,82,18
"""51009010502""","""Lynchburg, VA""",1.00,507.00,175.00,1145.21,44,53,39,19,24,16,25,29,22,8.13,1.24,1.81,2,2,18706,18554,19131,1,1,1,13561,12548,14035,10828,9836,11240,2728,2707,2790,5,5,5,19,19,19,4.9,5.6,0.42,0.15,6135,62,12232,80,19,70,1750,857,877,775,82,18
"""51009010503""","""Lynchburg, VA""",2.00,2294.00,917.00,3771.02,44,52,38,18,23,16,25,29,22,8.14,2.57,1.79,2,2,19430,19404,19824,1,1,1,13547,12534,14036,10709,9700,11141,2834,2831,2891,4,4,4,14,14,14,2.5,5.1,0.57,0.24,5881,81,9753,81,39,67,1968,826,883,742,65,35
"""51009010504""","""Lynchburg, VA""",2.00,4029.00,1708.00,2705.60,47,57,41,21,26,18,27,31,24,9.10,6.04,1.88,2,2,21830,21991,22147,1,1,1,14440,13459,14897,11254,10248,11665,3184,3208,3230,2,2,3,9,9,9,2.3,4.2,0.90,0.63,5088,80,6154,82,48,79,1693,920,980,693,72,28
"""51009010600""","""Lynchburg, VA""",2.00,3298.00,1191.00,16448.36,52,63,45,23,29,20,29,34,26,10.95,0.79,2.01,2,2,25253,25365,25670,1,0,1,15699,14678,16169,12014,10976,12424,3683,3700,3744,2,2,2,7,7,7,1.6,2.6,0.27,0.07,3258,78,3488,84,112,28,2994,1026,1083,869,75,25
"""51011040100""","""Lynchburg, VA""",5.00,7079.00,2756.00,39860.72,51,61,44,23,28,19,28,33,25,9.67,1.71,2.00,2,2,22877,22273,23708,0,0,0,15304,14217,15812,11968,10968,12355,3336,3249,3457,0,0,0,0,0,0,1.7,1.9,0.42,0.07,2315,76,2447,85,99,28,2415,1013,1123,712,76,24
"""51011040200""","""Lynchburg, VA""",3.00,4287.00,1707.00,79907.51,56,67,48,24,30,21,31,37,28,11.35,0.30,2.17,2,2,26923,26375,27765,0,0,0,16886,15766,17396,12960,11919,13347,3926,3848,4049,0,0,0,0,0,0,0.8,1.5,0.05,0.02,2370,77,2000,86,231,13,3837,1083,1187,520,86,14
"""51011040300""","""Lynchburg, VA""",4.00,4341.00,1628.00,93946.40,52,62,45,22,27,19,30,35,27,11.05,0.20,2.08,2,2,25759,25424,26529,0,0,0,16206,15074,16757,12449,11365,12889,3757,3709,3869,0,0,0,0,0,0,1.1,1.4,0.09,0.02,1933,71,1687,86,197,15,3599,976,1074,598,85,15
"""51013100100""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,5296.00,1738.00,542.93,54,68,87,40,50,67,14,17,21,6.42,21.54,1.81,2,2,14821,14813,14624,18,18,18,14568,14236,13080,11331,11015,9918,2162,2161,2133,1074,1060,1030,510,503,489,5.8,9.5,3.76,3.20,47616,94,74031,69,6,261,691,3491,3584,1429,95,5
"""51013100200""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",6.00,6600.00,2261.00,789.70,56,70,90,42,53,70,14,17,21,5.65,17.53,1.91,2,2,13257,13279,13105,10,10,10,14528,14206,13049,12012,11681,10546,1934,1937,1911,581,587,592,276,279,281,5.1,9.5,3.11,2.86,48621,96,77682,69,8,213,783,3641,3790,601,93,7
"""51013100300""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",5.00,6255.00,2085.00,1093.38,58,72,94,44,55,73,14,17,21,5.12,10.72,1.93,2,2,13385,13449,13330,8,8,8,14495,14169,13003,12087,11746,10594,1953,1962,1944,455,460,465,216,219,221,4.2,9.5,2.33,1.91,45540,96,74117,69,13,174,994,3813,3965,,96,4
"""51013100400""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,3918.00,1354.00,943.03,58,72,93,44,55,72,14,17,21,5.49,8.19,1.91,2,2,13138,13251,13214,12,12,12,14622,14302,13148,11996,11666,10534,1917,1933,1927,710,703,687,337,334,326,3.8,9.6,1.98,1.44,56627,99,106000,65,19,95,1364,3773,3846,2816,94,6
"""51013100500""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,4522.00,1657.00,528.95,56,70,91,43,53,70,14,17,20,5.06,16.96,1.83,2,2,12196,12226,12082,15,15,15,14183,13878,12783,11510,11200,10128,1779,1784,1762,893,894,893,424,425,424,6.1,9.6,3.99,3.13,61646,82,115950,65,8,237,825,3684,3907,1989,86,14
"""51013100600""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,3467.00,1284.00,250.15,47,58,75,34,43,57,13,15,19,4.67,24.94,1.62,2,1,11495,11493,11326,22,22,21,13123,12835,11840,10177,9893,8930,1677,1677,1652,1268,1265,1259,602,601,598,8.0,9.7,9.08,5.13,71777,55,141151,64,7,282,760,2963,3546,2162,66,34
"""51013100700""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",6.00,5831.00,2387.00,383.19,47,58,75,34,43,56,13,16,19,4.56,35.66,1.64,2,2,11413,11392,11205,21,21,21,13179,12901,11924,10304,10027,9078,1665,1662,1634,1209,1211,1213,574,575,576,7.4,9.6,7.51,6.23,64237,52,120258,65,7,319,732,2943,3481,1775,62,38
"""51013100800""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,1617.00,556.00,108.38,44,54,70,30,38,50,13,16,20,5.05,25.90,1.80,2,2,11812,11791,11584,14,14,14,13819,13531,12487,11269,10977,9956,1723,1720,1689,826,834,842,392,396,400,7.2,9.6,5.22,5.13,57344,73,102180,67,7,365,729,2635,3029,1768,70,30
"""51013100900""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,4195.00,1647.00,404.84,49,61,79,36,45,59,13,16,20,4.83,21.61,1.78,2,2,11960,11954,11760,14,15,15,13765,13459,12380,11172,10864,9814,1745,1744,1715,848,851,851,403,404,404,6.8,9.6,6.09,4.07,60463,73,105686,67,5,268,634,3094,3791,1349,74,26
"""51013101000""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,3308.00,1271.00,265.26,47,58,75,34,42,56,13,16,20,5.46,26.35,1.72,2,2,13275,13264,13081,18,18,18,13809,13508,12445,10816,10523,9504,1937,1935,1908,1056,1050,1033,502,499,491,7.0,9.5,5.64,4.79,55096,72,89221,68,7,284,729,2914,3361,2079,70,30
"""51013101100""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",5.00,5934.00,2270.00,534.88,49,61,79,36,45,59,13,16,19,5.57,25.12,1.64,2,2,13410,13341,13076,22,22,22,13559,13250,12210,10315,10014,9004,1956,1946,1907,1287,1290,1299,611,613,617,6.6,9.5,6.20,4.24,51737,73,80140,68,7,259,761,3095,3240,2120,75,25
"""51013101200""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,4037.00,1216.00,393.57,48,59,77,34,43,56,14,17,20,5.55,17.28,1.84,2,2,12614,12632,12465,12,12,12,14091,13783,12681,11539,11223,10141,1840,1843,1818,712,718,723,338,341,343,6.4,9.5,4.28,3.09,59292,81,89794,68,9,175,944,2955,3233,2443,77,23
"""51013101300""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",6.00,7411.00,2394.00,614.73,51,63,82,37,46,61,14,17,21,5.50,22.32,1.84,2,2,12628,12642,12493,21,21,20,14633,14339,13254,11572,11288,10246,1842,1844,1822,1219,1207,1187,579,573,564,6.7,9.6,4.59,3.89,70499,84,115364,66,7,224,787,3188,3405,1022,86,14
"""51013101401""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1454.00,797.00,84.02,37,45,59,26,32,43,11,13,16,3.27,31.04,1.25,1,1,9001,8907,8640,30,30,31,10929,10710,9984,7873,7637,6889,1313,1299,1260,1743,1773,1835,828,842,872,9.3,9.7,30.12,9.49,70948,10,125207,65,6,283,700,2248,2664,2098,34,66
"""51013101402""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,2362.00,1410.00,113.34,44,55,72,34,43,57,10,12,15,3.04,62.18,1.20,1,1,8795,8733,8507,30,30,31,10527,10295,9564,7512,7267,6523,1283,1274,1241,1732,1753,1801,823,833,855,9.0,9.7,20.07,12.44,73596,11,134868,64,5,307,620,2962,3288,2574,60,40
"""51013101403""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,6002.00,3747.00,75.13,35,44,57,27,33,44,8,10,13,2.09,127.66,0.93,1,1,6164,6097,5903,35,36,37,8785,8633,8129,5822,5635,5074,899,890,861,2064,2108,2195,980,1001,1042,9.7,9.7,80.72,49.87,75798,1,136646,64,6,324,687,2308,2123,2140,28,72
"""51013101404""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,5212.00,3134.00,76.98,37,47,61,28,36,47,9,11,14,2.49,101.28,1.02,1,1,7229,7149,6917,32,33,35,9391,9214,8637,6432,6223,5594,1055,1043,1009,1904,1948,2034,904,925,966,9.7,9.7,118.64,40.71,78276,1,144370,64,4,359,504,2457,2602,2403,33,67
"""51013101500""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",6.00,7829.00,3809.00,428.40,39,48,62,28,35,46,11,13,16,3.42,46.94,1.28,1,1,9068,9020,8811,27,28,28,10945,10722,9966,8020,7783,7017,1323,1316,1285,1602,1622,1664,761,771,791,8.5,9.7,17.71,8.89,78273,27,168129,61,6,322,654,2420,3020,1996,41,59
"""51013101601""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,1474.00,655.00,171.00,41,50,66,30,37,49,11,13,16,4.02,15.47,1.30,1,1,10253,10229,10054,28,28,29,11292,11077,10331,8150,7930,7187,1496,1492,1466,1646,1655,1678,782,786,797,9.1,9.8,14.26,3.83,77968,16,201019,58,5,396,859,2570,3293,2079,46,54
"""51013101602""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,1729.00,979.00,51.18,31,39,50,22,28,37,9,11,14,2.78,55.15,1.03,1,1,7809,7773,7606,32,33,33,9478,9294,8701,6447,6251,5641,1139,1134,1109,1892,1909,1950,898,907,926,9.6,9.8,21.45,19.13,77611,2,186419,60,11,262,846,1917,2159,1793,37,63
"""51013101603""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,3939.00,2343.00,113.47,41,51,66,32,40,53,9,10,13,2.54,55.66,0.98,1,1,7454,7438,7295,28,28,29,8868,8686,8109,6138,5934,5327,1087,1085,1064,1643,1667,1717,780,792,816,9.6,9.8,35.57,20.65,78384,2,216565,57,7,333,805,2783,2759,2468,43,57
"""51013101701""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,4916.00,2539.00,60.24,35,43,56,27,33,44,8,10,12,2.20,128.01,0.87,1,1,6303,6248,6070,33,34,35,8340,8200,7725,5474,5304,4782,919,911,885,1946,1984,2059,924,942,978,9.7,9.8,59.38,42.15,77852,3,186780,60,6,595,638,2306,1297,2275,18,82
"""51013101702""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,5384.00,3460.00,94.51,34,43,55,26,33,43,8,10,12,2.30,86.44,0.90,1,1,6944,6922,6773,28,28,29,8297,8129,7601,5659,5465,4898,1013,1010,988,1624,1654,1715,772,786,815,9.7,9.8,52.41,36.61,77915,0,219567,57,5,467,593,2271,2706,2033,41,59
