tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""51001090100""","""""",4.00,2899.00,1539.00,4581.96,60,74,47,33,42,24,27,32,22,6.79,3.58,1.74,2,2,17472,16898,18866,0,0,0,12409,11884,13968,9852,9412,11209,2549,2465,2751,7,8,8,9,9,10,5.0,2.1,0.96,0.34,2268,65,2112,85,15,112,1919,1275,1451,812,90,10
"""51001090200""","""""",3.00,5771.00,2507.00,46407.09,57,70,44,26,32,19,31,37,25,9.66,0.60,1.91,2,2,23435,23302,24505,0,0,0,14277,13780,15904,10849,10372,12320,3419,3399,3574,10,9,10,12,12,13,2.7,1.6,0.50,0.05,2487,70,2869,85,79,20,2443,992,982,969,81,19
"""51001090300""","""""",3.00,2439.00,1010.00,31733.08,55,67,43,24,30,18,31,37,25,9.66,0.32,1.91,2,2,23157,22863,24472,0,0,0,14226,13719,15866,10839,10376,12288,3378,3335,3569,8,8,9,10,10,11,1.4,2.0,0.39,0.03,1827,82,1680,85,115,12,3360,922,978,811,74,26
"""51001090400""","""""",4.00,6603.00,2234.00,47867.62,54,66,42,24,30,18,30,36,24,9.63,0.47,1.84,2,2,22132,21812,23369,0,0,0,13671,13220,15156,10433,10029,11738,3229,3182,3408,9,9,9,11,11,12,2.6,2.1,0.68,0.05,2022,65,2139,85,72,19,2895,933,1266,581,60,40
"""51001090500""","""""",3.00,2526.00,1038.00,16297.46,50,61,39,19,24,14,31,37,25,9.05,0.95,1.93,2,2,21443,20901,22882,0,0,0,14097,13625,15650,10962,10569,12306,3128,3049,3337,7,7,7,8,8,9,2.3,2.1,0.45,0.06,1887,85,2421,85,46,29,2261,734,764,709,71,29
"""51001090600""","""""",4.00,3726.00,1863.00,31558.99,65,80,50,36,45,27,29,35,24,7.76,1.56,1.84,2,2,19785,19415,21100,0,0,0,13315,12779,14972,10420,9938,11886,2886,2832,3077,9,9,9,11,11,11,1.9,2.2,2.49,0.06,2032,83,2118,85,51,18,3281,1388,1530,815,85,15
"""51001090700""","""""",5.00,5280.00,2036.00,38703.01,57,70,44,26,32,19,31,37,25,7.86,0.47,1.93,2,2,22232,21627,23789,0,0,0,14227,13726,15836,10976,10564,12359,3243,3155,3469,7,7,8,9,9,10,1.5,1.9,0.35,0.05,1966,88,2004,85,74,20,2534,997,1136,762,71,29
"""51001090800""","""""",3.00,3429.00,1211.00,51690.67,60,73,46,29,36,21,31,37,25,9.28,0.24,1.93,2,2,21611,21010,23254,0,0,0,14104,13547,15819,10945,10476,12421,3153,3065,3391,6,6,7,8,8,8,1.6,1.7,0.48,0.02,1751,82,1803,85,97,11,4612,1110,1188,841,80,20
"""51001980100""","""""",1.00,0.00,0.00,7780.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,0.00,0.00,,,,,,,4853,,,,,
"""51001980200""","""""",1.00,0.00,0.00,10937.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,0.09,0.00,,,,,,10,3749,,,,,
