tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""51001090100""","""""",4.00,2930.00,1402.00,4581.42,66,78,51,34,43,25,31,36,26,8.98,4.25,1.81,2,2,22010,19554,24025,0,0,0,12413,11247,14099,9360,8535,10766,3051,2710,3329,2,1,3,1,1,3,4.5,0.4,0.96,0.31,2172,67,2004,83,16,112,1919,1119,968,737,78,22
"""51001090200""","""""",3.00,6505.00,2672.00,46407.12,66,79,51,33,41,24,33,38,27,9.33,0.66,1.88,2,2,23232,20894,25171,0,0,0,12953,11865,14597,9729,8965,11104,3220,2896,3488,4,4,5,3,3,4,3.1,1.6,0.50,0.06,1759,75,1891,82,80,20,2443,1075,1164,792,72,28
"""51001090300""","""""",3.00,2458.00,1078.00,31735.99,61,73,47,28,35,21,33,38,27,9.71,0.36,1.87,2,2,23208,20965,25078,1,1,1,12887,11828,14505,9655,8905,11013,3217,2906,3475,15,17,17,13,15,14,2.4,3.5,0.39,0.03,1404,77,1400,80,112,12,3360,923,1032,690,69,31
"""51001090400""","""""",4.00,6328.00,2268.00,47867.65,60,71,47,28,35,21,32,36,26,9.59,0.53,1.80,2,2,22549,20280,24443,1,1,1,12441,11388,14037,9301,8562,10634,3126,2811,3387,14,15,15,12,13,13,3.4,2.7,0.68,0.05,1801,65,1764,81,71,19,2895,930,1042,746,64,36
"""51001090500""","""""",3.00,2501.00,1057.00,16294.19,62,73,48,29,36,21,32,37,27,9.69,0.97,1.86,2,2,23013,20761,24902,0,0,0,12788,11684,14443,9591,8799,10985,3190,2878,3451,7,8,7,6,7,6,2.5,2.7,0.45,0.06,1801,83,2006,81,47,29,2261,957,1046,829,73,27
"""51001090600""","""""",4.00,3584.00,1868.00,31701.10,67,80,52,35,43,25,32,37,27,8.55,2.43,1.86,2,2,22934,20670,24831,0,0,0,12807,11692,14473,9624,8822,11027,3179,2865,3441,4,5,5,3,4,4,2.0,2.2,2.49,0.06,1928,84,1935,82,48,18,3287,1135,1296,662,75,25
"""51001090700""","""""",5.00,4995.00,2058.00,38703.55,52,63,41,27,33,19,33,38,28,8.37,0.58,1.92,2,2,23325,20881,25319,0,0,0,13170,12047,14846,9934,9150,11332,3233,2894,3509,3,2,5,2,2,5,1.8,1.4,0.35,0.05,1733,76,1807,82,73,20,2534,871,940,342,79,21
"""51001090800""","""""",3.00,3814.00,1558.00,51692.37,59,71,46,27,34,20,33,38,27,9.73,0.32,1.86,2,2,23221,21156,25001,1,1,1,12850,11834,14444,9619,8885,10968,3219,2933,3464,12,16,11,10,13,9,3.0,2.5,0.48,0.03,1307,80,1451,80,98,11,4612,882,1031,657,59,41
"""51001980100""","""""",1.00,0.00,0.00,7780.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,0.00,0.00,,,,,,,4853,,,,,
"""51001980200""","""""",1.00,0.00,0.00,10921.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,0.09,0.00,,,,,,10,3749,,,,,
"""51003010100""","""Charlottesville, VA""",3.00,5423.00,2012.00,89673.61,60,71,66,33,42,37,26,29,28,10.84,0.38,2.16,2,2,25110,22502,25808,0,0,0,15785,14003,15336,12304,10884,11760,3481,3118,3576,0,0,0,0,0,0,1.2,1.3,0.07,0.02,2565,84,2669,83,211,13,3573,1677,1853,1183,74,26
"""51003010201""","""Charlottesville, VA""",2.00,4536.00,1662.00,17341.00,58,68,64,32,40,36,26,28,28,11.39,1.11,2.12,2,2,24868,21953,25646,0,0,0,15567,13702,15157,12120,10660,11603,3447,3042,3554,0,0,0,0,0,0,1.1,2.1,0.73,0.10,3499,77,3474,84,152,29,3280,1596,1644,1205,90,10
