tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""51059461606""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,2608.00,1127.00,158.49,30,37,47,19,24,32,10,13,15,4.93,35.26,1.46,1,1,12356,12206,11874,15,15,14,10960,10764,10029,9186,9010,8324,1505,1487,1446,269,267,258,174,172,167,,,,7.11,40512,0,81707,70,5,,,1707,1127,1884,49,51
"""51059461700""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,6749.00,2517.00,565.41,38,47,60,27,34,44,11,13,16,5.06,44.85,1.55,2,1,12384,12236,11867,14,14,14,11493,11242,10367,9730,9500,8678,1508,1490,1445,254,252,244,164,163,158,,,,4.45,36561,15,61273,71,13,,,2409,1771,1777,55,45
"""51059461801""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1811.00,716.00,76.78,33,41,53,22,28,37,11,13,16,5.12,47.79,1.54,2,1,12614,12465,12081,11,11,11,11398,11143,10266,9662,9428,8606,1536,1518,1471,199,197,189,129,127,122,,,,9.32,34289,2,53122,71,19,,,1993,2092,1861,58,42
"""51059461802""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",3.00,5560.00,2434.00,398.50,36,45,57,25,32,41,11,13,16,5.26,36.75,1.56,2,1,13632,13269,12707,5,6,6,11551,11279,10389,9792,9563,8742,1660,1616,1547,99,100,100,64,65,65,,,,6.11,31193,6,52705,71,22,,,2241,2665,2136,59,41
"""51059461901""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,3562.00,1342.00,227.10,32,40,51,22,27,35,11,13,16,5.16,37.19,1.55,2,1,12691,12541,12181,13,13,13,11542,11278,10381,9758,9515,8671,1546,1527,1483,239,236,227,154,152,146,,,,5.91,35610,14,54976,71,11,,,1919,2502,1733,51,49
"""51059461902""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",1.00,1872.00,535.00,116.17,30,37,48,20,25,32,10,13,15,5.64,25.96,1.49,1,1,13747,13377,12982,7,7,7,11113,10853,10053,9321,9105,8355,1674,1629,1581,118,119,117,76,77,76,,,,4.61,30743,1,57584,70,15,,,1749,,1769,6,94
"""51059470100""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,2479.00,858.00,1872.54,58,73,93,45,56,73,14,17,20,6.78,3.20,1.99,2,2,16596,16145,15421,5,5,5,14610,14285,13124,12499,12230,11160,2021,1966,1878,89,89,87,58,58,56,,,,0.46,29007,88,51655,69,55,,,3958,4001,2233,97,3
"""51059470300""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",2.00,3325.00,1069.00,860.33,57,71,91,44,55,72,13,16,19,6.40,8.10,1.95,2,2,14530,14119,13470,8,8,8,14128,13805,12657,12221,11948,10881,1770,1720,1640,136,138,136,88,89,88,,,,1.24,39886,97,63229,66,20,,,3883,4001,2003,93,7
"""51059470400""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,4769.00,1609.00,1415.00,57,71,92,44,55,72,13,16,19,6.62,8.19,1.94,2,2,14988,14572,13912,6,6,6,14111,13791,12652,12179,11908,10851,1826,1775,1694,106,108,107,69,70,69,,,,1.14,35363,89,59210,67,31,,,3907,4001,2050,92,8
"""51059470500""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",4.00,5513.00,2023.00,1036.27,49,61,78,37,46,60,12,15,18,4.59,10.80,1.77,2,2,14390,13998,13372,6,6,6,12981,12696,11683,11118,10879,9944,1753,1705,1628,110,112,111,71,72,72,,,,1.95,31160,57,59980,69,13,,,3251,3380,1508,82,18
