"","geoid","year","NAME","measure","region_type","value"
"65",51013103505,2021,"Census Tract 1035.05, Arlington County, Virginia","ays_index","tract",0.751449277197703
"66",51013103601,2021,"Census Tract 1036.01, Arlington County, Virginia","ays_index","tract",0.751791251252689
"67",51013103602,2021,"Census Tract 1036.02, Arlington County, Virginia","ays_index","tract",0.771852964557931
"68",51013103700,2021,"Census Tract 1037, Arlington County, Virginia","ays_index","tract",0.790729047905707
"69",51013103800,2021,"Census Tract 1038, Arlington County, Virginia","ays_index","tract",0.707993054980738
"70",51013980100,2021,"Census Tract 9801, Arlington County, Virginia","ays_index","tract",NA
"71",51013980200,2021,"Census Tract 9802, Arlington County, Virginia","ays_index","tract",NA
"72",51059415100,2021,"Census Tract 4151, Fairfax County, Virginia","ays_index","tract",0.656235352531195
"73",51059415200,2021,"Census Tract 4152, Fairfax County, Virginia","ays_index","tract",0.710253780694295
"74",51059415300,2021,"Census Tract 4153, Fairfax County, Virginia","ays_index","tract",0.55091604172184
"75",51059415401,2021,"Census Tract 4154.01, Fairfax County, Virginia","ays_index","tract",0.433354618404502
"76",51059415402,2021,"Census Tract 4154.02, Fairfax County, Virginia","ays_index","tract",0.678274077115242
"77",51059415500,2021,"Census Tract 4155, Fairfax County, Virginia","ays_index","tract",0.625671474811908
"78",51059415600,2021,"Census Tract 4156, Fairfax County, Virginia","ays_index","tract",0.753506823215171
"79",51059415700,2021,"Census Tract 4157, Fairfax County, Virginia","ays_index","tract",0.782346047880077
"80",51059415800,2021,"Census Tract 4158, Fairfax County, Virginia","ays_index","tract",0.68817994593678
"81",51059415900,2021,"Census Tract 4159, Fairfax County, Virginia","ays_index","tract",0.664160877754504
"82",51059416000,2021,"Census Tract 4160, Fairfax County, Virginia","ays_index","tract",0.553442240449408
"83",51059416100,2021,"Census Tract 4161, Fairfax County, Virginia","ays_index","tract",0.73268881429028
"84",51059416200,2021,"Census Tract 4162, Fairfax County, Virginia","ays_index","tract",0.593409463208374
"85",51059416300,2021,"Census Tract 4163, Fairfax County, Virginia","ays_index","tract",0.618760049211912
"86",51059420100,2021,"Census Tract 4201, Fairfax County, Virginia","ays_index","tract",0.48459214467321
"87",51059420201,2021,"Census Tract 4202.01, Fairfax County, Virginia","ays_index","tract",0.607627931747999
"88",51059420202,2021,"Census Tract 4202.02, Fairfax County, Virginia","ays_index","tract",0.673506086786032
"89",51059420203,2021,"Census Tract 4202.03, Fairfax County, Virginia","ays_index","tract",0.687938452454114
"90",51059420300,2021,"Census Tract 4203, Fairfax County, Virginia","ays_index","tract",0.647163031331868
"91",51059420400,2021,"Census Tract 4204, Fairfax County, Virginia","ays_index","tract",0.715599137878468
"92",51059420501,2021,"Census Tract 4205.01, Fairfax County, Virginia","ays_index","tract",0.729514179399844
"93",51059420502,2021,"Census Tract 4205.02, Fairfax County, Virginia","ays_index","tract",0.653756034943605
"94",51059420503,2021,"Census Tract 4205.03, Fairfax County, Virginia","ays_index","tract",0.624291353621793
"95",51059420600,2021,"Census Tract 4206, Fairfax County, Virginia","ays_index","tract",0.564517043080279
"96",51059420700,2021,"Census Tract 4207, Fairfax County, Virginia","ays_index","tract",0.578659862571241
"97",51059420800,2021,"Census Tract 4208, Fairfax County, Virginia","ays_index","tract",0.57114420154067
"98",51059421001,2021,"Census Tract 4210.01, Fairfax County, Virginia","ays_index","tract",0.582958890360417
"99",51059421002,2021,"Census Tract 4210.02, Fairfax County, Virginia","ays_index","tract",0.538607117739246
"100",51059421101,2021,"Census Tract 4211.01, Fairfax County, Virginia","ays_index","tract",0.634577344410542
"101",51059421102,2021,"Census Tract 4211.02, Fairfax County, Virginia","ays_index","tract",0.656224579826323
"102",51059421103,2021,"Census Tract 4211.03, Fairfax County, Virginia","ays_index","tract",0.603387610018498
"103",51059421200,2021,"Census Tract 4212, Fairfax County, Virginia","ays_index","tract",0.673251022820026
"104",51059421300,2021,"Census Tract 4213, Fairfax County, Virginia","ays_index","tract",0.667480479528459
"105",51059421400,2021,"Census Tract 4214, Fairfax County, Virginia","ays_index","tract",0.43562425827607
"106",51059421500,2021,"Census Tract 4215, Fairfax County, Virginia","ays_index","tract",0.384144830589766
"107",51059421600,2021,"Census Tract 4216, Fairfax County, Virginia","ays_index","tract",0.393160971612845
"108",51059421701,2021,"Census Tract 4217.01, Fairfax County, Virginia","ays_index","tract",0.384286341312403
"109",51059421702,2021,"Census Tract 4217.02, Fairfax County, Virginia","ays_index","tract",0.453235262422869
"110",51059421800,2021,"Census Tract 4218, Fairfax County, Virginia","ays_index","tract",0.441855240385935
"111",51059421900,2021,"Census Tract 4219, Fairfax County, Virginia","ays_index","tract",0.529675435698629
"112",51059422000,2021,"Census Tract 4220, Fairfax County, Virginia","ays_index","tract",0.52306690571982
"113",51059422101,2021,"Census Tract 4221.01, Fairfax County, Virginia","ays_index","tract",0.577192320910694
"114",51059422102,2021,"Census Tract 4221.02, Fairfax County, Virginia","ays_index","tract",0.537907469767302
"115",51059422201,2021,"Census Tract 4222.01, Fairfax County, Virginia","ays_index","tract",0.664626038121161
"116",51059422202,2021,"Census Tract 4222.02, Fairfax County, Virginia","ays_index","tract",0.564485554569813
"117",51059422301,2021,"Census Tract 4223.01, Fairfax County, Virginia","ays_index","tract",0.641718455513616
"118",51059422302,2021,"Census Tract 4223.02, Fairfax County, Virginia","ays_index","tract",0.614886049809482
"119",51059422401,2021,"Census Tract 4224.01, Fairfax County, Virginia","ays_index","tract",0.644045811538173
"120",51059422402,2021,"Census Tract 4224.02, Fairfax County, Virginia","ays_index","tract",0.59534720809726
"121",51059422403,2021,"Census Tract 4224.03, Fairfax County, Virginia","ays_index","tract",0.597540597296004
"122",51059430101,2021,"Census Tract 4301.01, Fairfax County, Virginia","ays_index","tract",0.687950669306531
"123",51059430102,2021,"Census Tract 4301.02, Fairfax County, Virginia","ays_index","tract",0.610753240545
"124",51059430201,2021,"Census Tract 4302.01, Fairfax County, Virginia","ays_index","tract",0.608074066686793
"125",51059430202,2021,"Census Tract 4302.02, Fairfax County, Virginia","ays_index","tract",0.602977139462821
"126",51059430203,2021,"Census Tract 4302.03, Fairfax County, Virginia","ays_index","tract",0.655076145651136
"127",51059430400,2021,"Census Tract 4304, Fairfax County, Virginia","ays_index","tract",0.579115443562657
"128",51059430500,2021,"Census Tract 4305, Fairfax County, Virginia","ays_index","tract",0.599186637408407
