"geoid","measure","measure_type","region_name","region_type","value","year"
"51001090100","affordability index","index","Census Tract 901, Accomack County, Virginia","tract","66",2015
"51001090200","affordability index","index","Census Tract 902, Accomack County, Virginia","tract","66",2015
"51001090300","affordability index","index","Census Tract 903, Accomack County, Virginia","tract","61",2015
"51001090400","affordability index","index","Census Tract 904, Accomack County, Virginia","tract","60",2015
"51001090500","affordability index","index","Census Tract 905, Accomack County, Virginia","tract","62",2015
"51001090600","affordability index","index","Census Tract 906, Accomack County, Virginia","tract","67",2015
"51001090700","affordability index","index","Census Tract 907, Accomack County, Virginia","tract","52",2015
"51001090800","affordability index","index","Census Tract 908, Accomack County, Virginia","tract","59",2015
"51001980100","affordability index","index","Census Tract 9801, Accomack County, Virginia","tract",NA,2015
"51001980200","affordability index","index","Census Tract 9802, Accomack County, Virginia","tract",NA,2015
"51003010100","affordability index","index","Census Tract 101, Albemarle County, Virginia","tract","60",2015
"51003010201","affordability index","index","Census Tract 102.01, Albemarle County, Virginia","tract","58",2015
"51003010202","affordability index","index","Census Tract 102.02, Albemarle County, Virginia","tract","73",2015
"51003010300","affordability index","index","Census Tract 103, Albemarle County, Virginia","tract","54",2015
"51003010401","affordability index","index","Census Tract 104.01, Albemarle County, Virginia","tract","61",2015
"51003010402","affordability index","index","Census Tract 104.02, Albemarle County, Virginia","tract","73",2015
"51003010500","affordability index","index","Census Tract 105, Albemarle County, Virginia","tract","49",2015
"51003010601","affordability index","index","Census Tract 106.01, Albemarle County, Virginia","tract","49",2015
"51003010602","affordability index","index","Census Tract 106.02, Albemarle County, Virginia","tract","51",2015
"51003010700","affordability index","index","Census Tract 107, Albemarle County, Virginia","tract","42",2015
"51003010800","affordability index","index","Census Tract 108, Albemarle County, Virginia","tract","48",2015
"51003010901","affordability index","index","Census Tract 109.01, Albemarle County, Virginia","tract","39",2015
"51003010902","affordability index","index","Census Tract 109.02, Albemarle County, Virginia","tract","37",2015
"51003010903","affordability index","index","Census Tract 109.03, Albemarle County, Virginia","tract","37",2015
"51003011000","affordability index","index","Census Tract 110, Albemarle County, Virginia","tract","80",2015
"51003011100","affordability index","index","Census Tract 111, Albemarle County, Virginia","tract","55",2015
"51003011201","affordability index","index","Census Tract 112.01, Albemarle County, Virginia","tract","52",2015
"51003011202","affordability index","index","Census Tract 112.02, Albemarle County, Virginia","tract","62",2015
"51003011301","affordability index","index","Census Tract 113.01, Albemarle County, Virginia","tract","53",2015
"51003011302","affordability index","index","Census Tract 113.02, Albemarle County, Virginia","tract","42",2015
"51003011303","affordability index","index","Census Tract 113.03, Albemarle County, Virginia","tract","48",2015
"51003011400","affordability index","index","Census Tract 114, Albemarle County, Virginia","tract","48",2015
"51005070100","affordability index","index","Census Tract 701, Alleghany County, Virginia","tract","44",2015
"51005080100","affordability index","index","Census Tract 801, Alleghany County, Virginia","tract","53",2015
"51005080201","affordability index","index","Census Tract 802.01, Alleghany County, Virginia","tract","59",2015
"51005080202","affordability index","index","Census Tract 802.02, Alleghany County, Virginia","tract","45",2015
"51005080301","affordability index","index","Census Tract 803.01, Alleghany County, Virginia","tract","63",2015
"51005080302","affordability index","index","Census Tract 803.02, Alleghany County, Virginia","tract","60",2015
"51007930100","affordability index","index","Census Tract 9301, Amelia County, Virginia","tract","53",2015
"51007930200","affordability index","index","Census Tract 9302, Amelia County, Virginia","tract","47",2015
"51009010100","affordability index","index","Census Tract 101, Amherst County, Virginia","tract","58",2015
"51009010200","affordability index","index","Census Tract 102, Amherst County, Virginia","tract","57",2015
"51009010300","affordability index","index","Census Tract 103, Amherst County, Virginia","tract","60",2015
"51009010401","affordability index","index","Census Tract 104.01, Amherst County, Virginia","tract","54",2015
"51009010402","affordability index","index","Census Tract 104.02, Amherst County, Virginia","tract","54",2015
"51009010502","affordability index","index","Census Tract 105.02, Amherst County, Virginia","tract","46",2015
"51009010503","affordability index","index","Census Tract 105.03, Amherst County, Virginia","tract","48",2015
"51009010504","affordability index","index","Census Tract 105.04, Amherst County, Virginia","tract","47",2015
"51009010600","affordability index","index","Census Tract 106, Amherst County, Virginia","tract","51",2015
"51011040100","affordability index","index","Census Tract 401, Appomattox County, Virginia","tract","54",2015
"51011040200","affordability index","index","Census Tract 402, Appomattox County, Virginia","tract","56",2015
"51011040300","affordability index","index","Census Tract 403, Appomattox County, Virginia","tract","57",2015
"51013100100","affordability index","index","Census Tract 1001, Arlington County, Virginia","tract","54",2015
"51013100200","affordability index","index","Census Tract 1002, Arlington County, Virginia","tract","60",2015
"51013100300","affordability index","index","Census Tract 1003, Arlington County, Virginia","tract","61",2015
"51013100400","affordability index","index","Census Tract 1004, Arlington County, Virginia","tract","62",2015
"51013100500","affordability index","index","Census Tract 1005, Arlington County, Virginia","tract","56",2015
"51013100600","affordability index","index","Census Tract 1006, Arlington County, Virginia","tract","45",2015
"51013100700","affordability index","index","Census Tract 1007, Arlington County, Virginia","tract","48",2015
"51013100800","affordability index","index","Census Tract 1008, Arlington County, Virginia","tract","43",2015
"51013100900","affordability index","index","Census Tract 1009, Arlington County, Virginia","tract","46",2015
"51013101000","affordability index","index","Census Tract 1010, Arlington County, Virginia","tract","47",2015
