"geoid","measure","year","value"
"51001090100","employment_access",2015,"2004"
"51001090200","employment_access",2015,"1891"
"51001090300","employment_access",2015,"1400"
"51001090400","employment_access",2015,"1764"
"51001090500","employment_access",2015,"2006"
"51001090600","employment_access",2015,"1935"
"51001090700","employment_access",2015,"1807"
"51001090800","employment_access",2015,"1451"
"51001980100","employment_access",2015,NA
"51001980200","employment_access",2015,NA
"51003010100","employment_access",2015,"2669"
"51003010201","employment_access",2015,"3474"
"51003010202","employment_access",2015,"5422"
"51003010300","employment_access",2015,"7232"
"51003010401","employment_access",2015,"3368"
"51003010402","employment_access",2015,"3818"
"51003010500","employment_access",2015,"15741"
"51003010601","employment_access",2015,"25120"
"51003010602","employment_access",2015,"16740"
"51003010700","employment_access",2015,"30771"
"51003010800","employment_access",2015,"24323"
"51003010901","employment_access",2015,"21446"
"51003010902","employment_access",2015,"20311"
"51003010903","employment_access",2015,"32201"
"51003011000","employment_access",2015,"5570"
"51003011100","employment_access",2015,"3310"
"51003011201","employment_access",2015,"2417"
"51003011202","employment_access",2015,"3492"
"51003011301","employment_access",2015,"3874"
"51003011302","employment_access",2015,"12515"
"51003011303","employment_access",2015,"14050"
"51003011400","employment_access",2015,"1881"
"51005070100","employment_access",2015,"2288"
"51005080100","employment_access",2015,"1491"
"51005080201","employment_access",2015,"1471"
"51005080202","employment_access",2015,"2084"
"51005080301","employment_access",2015,"1352"
"51005080302","employment_access",2015,"1353"
"51007930100","employment_access",2015,"2102"
"51007930200","employment_access",2015,"2109"
"51009010100","employment_access",2015,"1678"
"51009010200","employment_access",2015,"2569"
"51009010300","employment_access",2015,"2523"
"51009010401","employment_access",2015,"2929"
"51009010402","employment_access",2015,"4104"
"51009010502","employment_access",2015,"11393"
"51009010503","employment_access",2015,"9313"
"51009010504","employment_access",2015,"6012"
"51009010600","employment_access",2015,"3575"
"51011040100","employment_access",2015,"2168"
"51011040200","employment_access",2015,"1724"
"51011040300","employment_access",2015,"1549"
"51013100100","employment_access",2015,"67172"
"51013100200","employment_access",2015,"72167"
"51013100300","employment_access",2015,"70997"
"51013100400","employment_access",2015,"105146"
"51013100500","employment_access",2015,"110020"
"51013100600","employment_access",2015,"130076"
"51013100700","employment_access",2015,"110939"
"51013100800","employment_access",2015,"92050"
"51013100900","employment_access",2015,"93833"
"51013101000","employment_access",2015,"80405"
"51013101100","employment_access",2015,"73088"
"51013101200","employment_access",2015,"80926"
"51013101300","employment_access",2015,"104415"
"51013101401","employment_access",2015,"114088"
"51013101402","employment_access",2015,"124701"
"51013101403","employment_access",2015,"125861"
"51013101404","employment_access",2015,"133663"
"51013101500","employment_access",2015,"160071"
"51013101601","employment_access",2015,"199029"
"51013101602","employment_access",2015,"180946"
"51013101603","employment_access",2015,"211119"
"51013101701","employment_access",2015,"179327"
"51013101702","employment_access",2015,"215730"
"51013101703","employment_access",2015,"199622"
"51013101801","employment_access",2015,"156817"
"51013101802","employment_access",2015,"167038"
"51013101803","employment_access",2015,"151776"
"51013101900","employment_access",2015,"141920"
