"","geoid","year","NAME","measure_type","value","measure","region_type"
"1",51013100100,2021,"Census Tract 1001, Arlington County, Virginia","average",16.2921863069483,"average_years_schooling","tract"
"2",51013100100,2021,"Census Tract 1001, Arlington County, Virginia","index",0.725304402543407,"scaled_score","tract"
"3",51013100200,2021,"Census Tract 1002, Arlington County, Virginia","average",16.0499003984064,"average_years_schooling","tract"
"4",51013100200,2021,"Census Tract 1002, Arlington County, Virginia","index",0.700725579940867,"scaled_score","tract"
"5",51013100300,2021,"Census Tract 1003, Arlington County, Virginia","average",16.365133560956,"average_years_schooling","tract"
"6",51013100300,2021,"Census Tract 1003, Arlington County, Virginia","index",0.732704575448167,"scaled_score","tract"
"7",51013100400,2021,"Census Tract 1004, Arlington County, Virginia","average",17.1308700400437,"average_years_schooling","tract"
"8",51013100400,2021,"Census Tract 1004, Arlington County, Virginia","index",0.810385119038388,"scaled_score","tract"
"9",51013100500,2021,"Census Tract 1005, Arlington County, Virginia","average",16.8877187297472,"average_years_schooling","tract"
"10",51013100500,2021,"Census Tract 1005, Arlington County, Virginia","index",0.78571850529549,"scaled_score","tract"
"11",51013100600,2021,"Census Tract 1006, Arlington County, Virginia","average",16.214371257485,"average_years_schooling","tract"
"12",51013100600,2021,"Census Tract 1006, Arlington County, Virginia","index",0.717410413544724,"scaled_score","tract"
"13",51013100700,2021,"Census Tract 1007, Arlington County, Virginia","average",16.26796875,"average_years_schooling","tract"
"14",51013100700,2021,"Census Tract 1007, Arlington County, Virginia","index",0.722847639623591,"scaled_score","tract"
"15",51013100800,2021,"Census Tract 1008, Arlington County, Virginia","average",15.3269589552239,"average_years_schooling","tract"
"16",51013100800,2021,"Census Tract 1008, Arlington County, Virginia","index",0.627386401484561,"scaled_score","tract"
"17",51013100900,2021,"Census Tract 1009, Arlington County, Virginia","average",15.9645356234097,"average_years_schooling","tract"
"18",51013100900,2021,"Census Tract 1009, Arlington County, Virginia","index",0.692065705027893,"scaled_score","tract"
"19",51013101000,2021,"Census Tract 1010, Arlington County, Virginia","average",16.4087285771224,"average_years_schooling","tract"
"20",51013101000,2021,"Census Tract 1010, Arlington County, Virginia","index",0.737127095004322,"scaled_score","tract"
"21",51013101100,2021,"Census Tract 1011, Arlington County, Virginia","average",16.887913796934,"average_years_schooling","tract"
"22",51013101100,2021,"Census Tract 1011, Arlington County, Virginia","index",0.785738293989798,"scaled_score","tract"
"23",51013101200,2021,"Census Tract 1012, Arlington County, Virginia","average",15.7801890094505,"average_years_schooling","tract"
"24",51013101200,2021,"Census Tract 1012, Arlington County, Virginia","index",0.673364564919708,"scaled_score","tract"
"25",51013101300,2021,"Census Tract 1013, Arlington County, Virginia","average",16.541181041181,"average_years_schooling","tract"
"26",51013101300,2021,"Census Tract 1013, Arlington County, Virginia","index",0.750563805529333,"scaled_score","tract"
"27",51013101401,2021,"Census Tract 1014.01, Arlington County, Virginia","average",16.3327414772727,"average_years_schooling","tract"
