"geoid","measure","year","value"
"51001090100","affordability_index",2015,"66"
"51001090200","affordability_index",2015,"66"
"51001090300","affordability_index",2015,"61"
"51001090400","affordability_index",2015,"60"
"51001090500","affordability_index",2015,"62"
"51001090600","affordability_index",2015,"67"
"51001090700","affordability_index",2015,"52"
"51001090800","affordability_index",2015,"59"
"51001980100","affordability_index",2015,NA
"51001980200","affordability_index",2015,NA
"51003010100","affordability_index",2015,"60"
"51003010201","affordability_index",2015,"58"
"51003010202","affordability_index",2015,"73"
"51003010300","affordability_index",2015,"54"
"51003010401","affordability_index",2015,"61"
"51003010402","affordability_index",2015,"73"
"51003010500","affordability_index",2015,"49"
"51003010601","affordability_index",2015,"49"
"51003010602","affordability_index",2015,"51"
"51003010700","affordability_index",2015,"42"
"51003010800","affordability_index",2015,"48"
"51003010901","affordability_index",2015,"39"
"51003010902","affordability_index",2015,"37"
"51003010903","affordability_index",2015,"37"
"51003011000","affordability_index",2015,"80"
"51003011100","affordability_index",2015,"55"
"51003011201","affordability_index",2015,"52"
"51003011202","affordability_index",2015,"62"
"51003011301","affordability_index",2015,"53"
"51003011302","affordability_index",2015,"42"
"51003011303","affordability_index",2015,"48"
"51003011400","affordability_index",2015,"48"
"51005070100","affordability_index",2015,"44"
"51005080100","affordability_index",2015,"53"
"51005080201","affordability_index",2015,"59"
"51005080202","affordability_index",2015,"45"
"51005080301","affordability_index",2015,"63"
"51005080302","affordability_index",2015,"60"
"51007930100","affordability_index",2015,"53"
"51007930200","affordability_index",2015,"47"
"51009010100","affordability_index",2015,"58"
"51009010200","affordability_index",2015,"57"
"51009010300","affordability_index",2015,"60"
"51009010401","affordability_index",2015,"54"
"51009010402","affordability_index",2015,"54"
"51009010502","affordability_index",2015,"46"
"51009010503","affordability_index",2015,"48"
"51009010504","affordability_index",2015,"47"
"51009010600","affordability_index",2015,"51"
"51011040100","affordability_index",2015,"54"
"51011040200","affordability_index",2015,"56"
"51011040300","affordability_index",2015,"57"
"51013100100","affordability_index",2015,"54"
"51013100200","affordability_index",2015,"60"
"51013100300","affordability_index",2015,"61"
"51013100400","affordability_index",2015,"62"
"51013100500","affordability_index",2015,"56"
"51013100600","affordability_index",2015,"45"
"51013100700","affordability_index",2015,"48"
"51013100800","affordability_index",2015,"43"
"51013100900","affordability_index",2015,"46"
"51013101000","affordability_index",2015,"47"
"51013101100","affordability_index",2015,"50"
"51013101200","affordability_index",2015,"49"
"51013101300","affordability_index",2015,"49"
"51013101401","affordability_index",2015,"36"
"51013101402","affordability_index",2015,"39"
"51013101403","affordability_index",2015,"38"
"51013101404","affordability_index",2015,"42"
"51013101500","affordability_index",2015,"40"
"51013101601","affordability_index",2015,"41"
"51013101602","affordability_index",2015,"32"
"51013101603","affordability_index",2015,"38"
"51013101701","affordability_index",2015,"39"
"51013101702","affordability_index",2015,"36"
"51013101703","affordability_index",2015,"34"
"51013101801","affordability_index",2015,"43"
"51013101802","affordability_index",2015,"37"
"51013101803","affordability_index",2015,"36"
"51013101900","affordability_index",2015,"54"
"51013102001","affordability_index",2015,"30"
"51013102002","affordability_index",2015,"30"
"51013102003","affordability_index",2015,"29"
"51013102100","affordability_index",2015,"37"
"51013102200","affordability_index",2015,"29"
"51013102301","affordability_index",2015,"48"
"51013102302","affordability_index",2015,"39"
"51013102400","affordability_index",2015,"37"
"51013102500","affordability_index",2015,"35"
"51013102600","affordability_index",2015,"40"
"51013102701","affordability_index",2015,"29"
"51013102702","affordability_index",2015,"40"
"51013102801","affordability_index",2015,"33"
"51013102802","affordability_index",2015,"47"
"51013102901","affordability_index",2015,"38"
"51013102902","affordability_index",2015,"38"
"51013103000","affordability_index",2015,"42"
"51013103100","affordability_index",2015,"38"
"51013103200","affordability_index",2015,"34"
"51013103300","affordability_index",2015,"30"
"51013103401","affordability_index",2015,"34"
"51013103402","affordability_index",2015,"40"
"51013103501","affordability_index",2015,"34"
"51013103502","affordability_index",2015,"34"
"51013103503","affordability_index",2015,"35"
"51013103601","affordability_index",2015,"47"
"51013103602","affordability_index",2015,"32"
"51013103700","affordability_index",2015,"59"
"51013103800","affordability_index",2015,"35"
"51013980100","affordability_index",2015,NA
"51013980200","affordability_index",2015,NA
"51015070100","affordability_index",2015,"52"
"51015070200","affordability_index",2015,"57"
"51015070300","affordability_index",2015,"57"
"51015070400","affordability_index",2015,"57"
"51015070500","affordability_index",2015,"60"
"51015070600","affordability_index",2015,"61"
"51015070700","affordability_index",2015,"58"
"51015070800","affordability_index",2015,"60"
"51015070900","affordability_index",2015,"53"
"51015071000","affordability_index",2015,"57"
"51015071101","affordability_index",2015,"49"
"51015071102","affordability_index",2015,"57"
"51015071200","affordability_index",2015,"61"
"51017920100","affordability_index",2015,"61"
"51019030101","affordability_index",2015,"69"
"51019030103","affordability_index",2015,"67"
"51019030104","affordability_index",2015,"55"
"51019030201","affordability_index",2015,"72"
"51019030202","affordability_index",2015,"61"
"51019030300","affordability_index",2015,"57"
"51019030401","affordability_index",2015,"58"
"51019030402","affordability_index",2015,"55"
"51019030501","affordability_index",2015,"55"
"51019030503","affordability_index",2015,"65"
"51019030504","affordability_index",2015,"58"
"51019030601","affordability_index",2015,"58"
"51019030602","affordability_index",2015,"56"
"51019030603","affordability_index",2015,"55"
"51019030604","affordability_index",2015,"58"
"51019030605","affordability_index",2015,"52"
"51019050100","affordability_index",2015,"47"
"51021040100","affordability_index",2015,"58"
"51021040200","affordability_index",2015,"34"
"51023040100","affordability_index",2015,"44"
"51023040200","affordability_index",2015,"44"
"51023040301","affordability_index",2015,"64"
"51023040302","affordability_index",2015,"70"
"51023040401","affordability_index",2015,"53"
"51023040402","affordability_index",2015,"58"
"51023040501","affordability_index",2015,"63"
"51023040502","affordability_index",2015,"56"
"51025930100","affordability_index",2015,"66"
"51025930201","affordability_index",2015,"64"
"51025930202","affordability_index",2015,NA
"51025930203","affordability_index",2015,"62"
"51025930300","affordability_index",2015,"71"
"51027010100","affordability_index",2015,"65"
"51027010200","affordability_index",2015,"73"
"51027010300","affordability_index",2015,"74"
"51027010400","affordability_index",2015,"70"
"51027010500","affordability_index",2015,"75"
"51027010600","affordability_index",2015,"74"
"51027010700","affordability_index",2015,"75"
"51029930101","affordability_index",2015,"45"
"51029930102","affordability_index",2015,"45"
"51029930201","affordability_index",2015,"45"
"51029930202","affordability_index",2015,"48"
"51031020101","affordability_index",2015,"56"
"51031020102","affordability_index",2015,"61"
"51031020200","affordability_index",2015,"57"
"51031020300","affordability_index",2015,"54"
"51031020401","affordability_index",2015,"48"
"51031020402","affordability_index",2015,"52"
"51031020403","affordability_index",2015,"59"
"51031020500","affordability_index",2015,"55"
"51031020600","affordability_index",2015,"60"
"51031020700","affordability_index",2015,"48"
"51031020800","affordability_index",2015,"53"
"51031020900","affordability_index",2015,"52"
"51033030100","affordability_index",2015,"52"
"51033030201","affordability_index",2015,"56"
"51033030202","affordability_index",2015,"52"
"51033030300","affordability_index",2015,"51"
"51033030400","affordability_index",2015,"49"
"51033030500","affordability_index",2015,"54"
"51033030600","affordability_index",2015,"49"
"51035080100","affordability_index",2015,"68"
"51035080200","affordability_index",2015,"64"
"51035080300","affordability_index",2015,"69"
"51035080400","affordability_index",2015,"66"
"51035080500","affordability_index",2015,"55"
"51035080601","affordability_index",2015,"64"
"51035080602","affordability_index",2015,"69"
"51036600100","affordability_index",2015,"47"
